pk,name
1,Horse
2,Dog
3,Human
4,Aggie
5,Bear
6,Cat
7,Unique
8,Ball Head
9,Dinosaur
10,Bird
11,Fish
12,Elephant
13,Seal
14,Moose/Deer/Sheep
15,Insect
16,Bovine
17,Wolf
18,Dragon
19,Primate
20,Canine
21,Reptile
22,Swine
23,Vermint
24,Devil
25,Kangaroo
26,Rabbit
27,Koala
28,Camel
29,Fox
30,Mammoth
31,Coyote
32,Reindeer
33,Alien
34,Frog
35,Raccoon
36,Turtle
37,Manatee
38,Crab
39,Gorilla
40,Squirrel
41,Crocodile
42,Llama
43,Goat
44,Alligator
45,Boll Weebil
46,Prairie Dog
47,Multiple Characters
48,
49,Tucker Van Brunt
50,Joey Goldstein
51,Hamster
